level,hp,attack,defense,special attack,special defense,speed
3,15,7,7,7,7,10
4,16,9,8,8,7,11
5,18,9,9,8,8,13
6,20,10,9,9,9,15
7,21,11,11,10,10,17
8,23,13,12,11,10,18
9,25,14,13,12,11,20
10,27,15,14,12,12,22
11,28,16,15,13,13,25
12,30,18,15,14,13,27
13,32,18,16,15,14,29
14,33,19,17,16,15,32
15,35,20,18,16,15,35
16,37,22,19,17,16,39
17,38,23,20,18,17,42
18,40,24,20,19,18,46
19,42,25,22,20,18,48
20,44,27,23,20,19,51
