level,hp,attack,defense,special attack,special defense,speed
2,14,7,6,5,6,7
3,16,8,7,6,7,9
4,18,9,8,7,8,10
5,20,10,9,8,8,12
6,22,11,11,9,9,13
7,24,12,12,9,10,14
8,26,13,12,10,11,16
9,28,14,13,11,12,17
10,30,15,14,12,12,19
11,32,16,15,13,13,20
12,34,17,16,14,14,22
13,36,18,17,15,15,24
14,38,19,18,16,15,25
15,41,20,19,17,16,27
16,43,21,20,18,17,29
17,45,22,22,18,18,31
18,48,23,23,19,19,33
